id_acidente;cadloga;cadlogb;alt_num;referencia;data;cod_acid;dp;talao;feridos;mortos;distrito_atz;princ_a;princ_b;tipo_acidente;automovel;moto;onibus;caminhao;bicicleta;moto_taxi;onibus_fretado;onibus_urbano;microonibus;van;vuc;caminhonete;carreta;jipe;outros;sem_info;carroca;latitude;longitude;end;geocode;flag_cruzamento
D101702772;14767;66321;0;;10/29/2017 0:00;2;20;10170;2;0;82;14767;66321;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.468114;-46.61668;AVENIDA   NOVA CANTAREIRA X RUA   BENTO ARAUJO;MapInfo CET;TRUE
D111701178;46949;;0;NC;11/2/2017 0:06;2;47;10741;1;0;19;46949;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.661229;-46.769877;AVENIDA PROF  TELEMACO H. M. VAN, 0;MapInfo CET;FALSE
D061701168;13733;36104;0;;6/18/2017 0:38;2;3;4191;1;0;78;7204;13733;CL;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.535937;-46.633028;RUA   MAUA X VIADUTO ENG  ROMERO ZANDER;MapInfo CET;TRUE
D061700533;5687;4300;0;;6/11/2017 0:49;2;24;5194;1;0;18;4300;5687;CV;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.504121;-46.503588;AVENIDA   DANFER X RUA   CARLOS ADRIANO;MapInfo CET;TRUE
D051700018;7645;;2950;;5/30/2017 0:50;2;21;4385;1;0;91;7645;;QB;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.531924;-46.530042;AVENIDA CD DE FRONTIN, 2950;MapInfo CET;FALSE
D121701177;19230;;1525;;12/3/2017 0:53;2;92;11870;0;1;46;19230;;CH;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.665964;-46.744393;RUA   NOVA DO TUPAROQUERA, 1525;MapInfo CET;FALSE
D101701050;544;;0;AV ALCANTARA MA;10/13/2017 1:15;2;8;7031;0;1;10;543;;CF;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.552626;-46.617197;VIADUTO   ALCANTARA MACHADO, 0;MapInfo CET;FALSE
D031700989;5567;;2046;;3/2/2017 1:30;2;9;2123;1;0;70;5567;;CO;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.512647;-46.624476;AVENIDA   CRUZEIRO DO SUL, 2046;MapInfo CET;FALSE
D111702295;6239;;150;;11/25/2017 1:30;2;30;5207;0;1;85;6239;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.562622;-46.558306;AVENIDA DR  EDUARDO COTCHING, 150;MapInfo CET;FALSE
D021700153;64138;;2003;;2/18/2017 1:39;2;24;1450;1;0;28;64138;;CO;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.495669;-46.497595;RUA   CANDIDO DE ABREU, 2003;MapInfo CET;FALSE
